district,translated_name
Starnberg (Landkreis),Starnberg (Landkreis)
Fürstenfeldbruck (Landkreis),Fürstenfeldbruck (Landkreis)
Munich,München
Traunstein (Landkreis),Traunstein (Landkreis)
Munich (Landkreis),München (Landkreis)
Germersheim (Landkreis),Germersheim (Landkreis)
Göppingen (Landkreis),Göppingen (Landkreis)
Heinsberg,Heinsberg
Tübingen (Landkreis),Tübingen (Landkreis)
Rottweil (Landkreis),Rottweil (Landkreis)
Koblenz,Koblenz
Breisgau-Hochschwarzwald,Breisgau-Hochschwarzwald
Freiburg im Breisgau,Freiburg im Breisgau
Böblingen (Landkreis),Böblingen (Landkreis)
Erlangen,Erlangen
Kaiserslautern (Landkreis),Kaiserslautern (Landkreis)
Lahn-Dill-Kreis,Lahn-Dill-Kreis
Hamburg,Hamburg
Ludwigsburg (Landkreis),Ludwigsburg (Landkreis)
Rhein-Neckar-Kreis,Rhein-Neckar-Kreis
Karlsruhe (Landkreis),Karlsruhe (Landkreis)
Heilbronn (Landkreis),Heilbronn (Landkreis)
Märkischer Kreis,Märkischer Kreis
Hochtaunuskreis,Hochtaunuskreis
Giessen,Giessen
Aachen,Aachen
Bonn,Bonn
Emmendingen (Landkreis),Emmendingen (Landkreis)
Ebersberg (Landkreis),Ebersberg (Landkreis)
Rosenheim (Landkreis),Rosenheim (Landkreis)
Bremen (state),Bremen (state)
Hanover Region,Region Hannover
Lübeck,Lübeck
Mönchengladbach,Mönchengladbach
Duisburg,Duisburg
Frankfurt,Frankfurt
Groß-Gerau,Groß-Gerau
Nuremberg,Nürnberg
Freising (Landkreis),Freising (Landkreis)
Ostallgäu,Ostallgäu
Münster,Münster
Herzogtum Lauenburg,Herzogtum Lauenburg
Essen,Essen
Viersen (Landkreis),Viersen (Landkreis)
Bergstraße (Landkreis),Bergstraße (Landkreis)
Mannheim,Mannheim
Mitte,Mitte
Rheinisch-Bergischer Kreis,Rheinisch-Bergischer Kreis
Roth (Landkreis),Roth (Landkreis)
Bayreuth (Landkreis),Bayreuth (Landkreis)
Cologne,Köln
Unna (Landkreis),Unna (Landkreis)
