Country,Date,Cases
Thailand,2020-01-22,2
Japan,2020-01-22,2
Singapur,2020-01-22,0
Nepal,2020-01-22,0
Malaysia,2020-01-22,0
Kanada,2020-01-22,0
Australien,2020-01-22,0
Kambodscha,2020-01-22,0
Sri Lanka,2020-01-22,0
Deutschland,2020-01-22,0
Finnland,2020-01-22,0
Vereinigte Arabische Emirate,2020-01-22,0
Philippinen,2020-01-22,0
Indien,2020-01-22,0
Italien,2020-01-22,0
Schweden,2020-01-22,0
Spanien,2020-01-22,0
Belgien,2020-01-22,0
Ägypten,2020-01-22,0
Libanon,2020-01-22,0
Irak,2020-01-22,0
Oman,2020-01-22,0
Afghanistan,2020-01-22,0
Bahrain,2020-01-22,0
Kuwait,2020-01-22,0
Algerien,2020-01-22,0
Kroatien,2020-01-22,0
Schweiz,2020-01-22,0
Österreich,2020-01-22,0
Israel,2020-01-22,0
Pakistan,2020-01-22,0
Brasilien,2020-01-22,0
Georgien,2020-01-22,0
Griechenland,2020-01-22,0
Mazedonien,2020-01-22,0
Norwegen,2020-01-22,0
Rumänien,2020-01-22,0
Estland,2020-01-22,0
Niederlande,2020-01-22,0
San Marino,2020-01-22,0
Weißrussland,2020-01-22,0
Island,2020-01-22,0
Litauen,2020-01-22,0
Mexiko,2020-01-22,0
Neuseeland,2020-01-22,0
Nigeria,2020-01-22,0
Irland,2020-01-22,0
Luxemburg,2020-01-22,0
Monaco,2020-01-22,0
Katar,2020-01-22,0
Ecuador,2020-01-22,0
Aserbaidschan,2020-01-22,0
Armenien,2020-01-22,0
Dominikanische Republik,2020-01-22,0
Indonesien,2020-01-22,0
Portugal,2020-01-22,0
Andorra,2020-01-22,0
Lettland,2020-01-22,0
Marokko,2020-01-22,0
Saudi Arabien,2020-01-22,0
Senegal,2020-01-22,0
Argentinien,2020-01-22,0
Chile,2020-01-22,0
Jordanien,2020-01-22,0
Ukraine,2020-01-22,0
Ungarn,2020-01-22,0
Liechtenstein,2020-01-22,0
Polen,2020-01-22,0
Tunesien,2020-01-22,0
Bosnien und Herzegowina,2020-01-22,0
Slowenien,2020-01-22,0
Südafrika,2020-01-22,0
Bhutan,2020-01-22,0
Kamerun,2020-01-22,0
Kolumbien,2020-01-22,0
Costa Rica,2020-01-22,0
Peru,2020-01-22,0
Serbien,2020-01-22,0
Slowakei,2020-01-22,0
Togo,2020-01-22,0
Malta,2020-01-22,0
Martinique,2020-01-22,0
Bulgarien,2020-01-22,0
Malediven,2020-01-22,0
Bangladesch,2020-01-22,0
Paraguay,2020-01-22,0
Albanien,2020-01-22,0
Zypern,2020-01-22,0
Brunei Darussalam,2020-01-22,0
Vereinigte Staaten,2020-01-22,1
Burkina Faso,2020-01-22,0
Vatikanstaat,2020-01-22,0
Mongolei,2020-01-22,0
Panama,2020-01-22,0
China,2020-01-22,548
Iran,2020-01-22,0
Südkorea,2020-01-22,1
Frankreich,2020-01-22,0
NA,2020-01-22,0
Dänemark,2020-01-22,0
Tschechische Republik,2020-01-22,0
Taiwan,2020-01-22,1
Vietnam,2020-01-22,0
Russische Föderation,2020-01-22,0
Republik Moldau,2020-01-22,0
Bolivien,2020-01-22,0
Honduras,2020-01-22,0
